"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SP","Share Prices, Index","AUS","Australia","A","Annual","1958","1958","IDX","Index","0","Units","2015_100","2015=100",2.613002,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1959","1959","IDX","Index","0","Units","2015_100","2015=100",3.256618,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1960","1960","IDX","Index","0","Units","2015_100","2015=100",3.966841,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1961","1961","IDX","Index","0","Units","2015_100","2015=100",3.653984,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1962","1962","IDX","Index","0","Units","2015_100","2015=100",3.67826,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1963","1963","IDX","Index","0","Units","2015_100","2015=100",4.027682,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1964","1964","IDX","Index","0","Units","2015_100","2015=100",4.528525,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1965","1965","IDX","Index","0","Units","2015_100","2015=100",3.975944,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1966","1966","IDX","Index","0","Units","2015_100","2015=100",3.951213,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1967","1967","IDX","Index","0","Units","2015_100","2015=100",4.632608,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1968","1968","IDX","Index","0","Units","2015_100","2015=100",6.652974,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1969","1969","IDX","Index","0","Units","2015_100","2015=100",7.317072,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1970","1970","IDX","Index","0","Units","2015_100","2015=100",7.011195,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1971","1971","IDX","Index","0","Units","2015_100","2015=100",5.85566,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1972","1972","IDX","Index","0","Units","2015_100","2015=100",7.038809,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1973","1973","IDX","Index","0","Units","2015_100","2015=100",6.581208,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1974","1974","IDX","Index","0","Units","2015_100","2015=100",4.882499,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1975","1975","IDX","Index","0","Units","2015_100","2015=100",4.592401,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1976","1976","IDX","Index","0","Units","2015_100","2015=100",5.68406,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1977","1977","IDX","Index","0","Units","2015_100","2015=100",5.451769,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1978","1978","IDX","Index","0","Units","2015_100","2015=100",6.177924,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1979","1979","IDX","Index","0","Units","2015_100","2015=100",7.639335,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1980","1980","IDX","Index","0","Units","2015_100","2015=100",11.57022,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1981","1981","IDX","Index","0","Units","2015_100","2015=100",11.70298,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1982","1982","IDX","Index","0","Units","2015_100","2015=100",8.965257,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1983","1983","IDX","Index","0","Units","2015_100","2015=100",11.62757,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1984","1984","IDX","Index","0","Units","2015_100","2015=100",13.21127,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1985","1985","IDX","Index","0","Units","2015_100","2015=100",16.51881,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1986","1986","IDX","Index","0","Units","2015_100","2015=100",22.2822,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1987","1987","IDX","Index","0","Units","2015_100","2015=100",31.04002,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1988","1988","IDX","Index","0","Units","2015_100","2015=100",26.97814,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1989","1989","IDX","Index","0","Units","2015_100","2015=100",28.96189,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",26.76051,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",27.82293,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",28.80249,,
