"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1970","1970",,,"0","Units",,,58.8583475511418,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1971","1971",,,"0","Units",,,64.1356206225632,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1972","1972",,,"0","Units",,,69.8074981784433,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1973","1973",,,"0","Units",,,78.8432104933374,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1974","1974",,,"0","Units",,,86.323114236254,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1975","1975",,,"0","Units",,,96.8575364169851,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1976","1976",,,"0","Units",,,104.288925065367,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1977","1977",,,"0","Units",,,110.276098500973,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1978","1978",,,"0","Units",,,123.342206283697,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1979","1979",,,"0","Units",,,137.980995557179,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1980","1980",,,"0","Units",,,155.037412676088,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1981","1981",,,"0","Units",,,178.292325176256,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1982","1982",,,"0","Units",,,181.931974156121,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1983","1983",,,"0","Units",,,196.533517823995,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1984","1984",,,"0","Units",,,211.772910507186,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1985","1985",,,"0","Units",,,228.924227057254,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1986","1986",,,"0","Units",,,240.015946835875,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1987","1987",,,"0","Units",,,260.935758662376,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","1988","1988",,,"0","Units",,,282.917818218601,,
