DATE,GDPC1,GDPPOT
1947-01-01,2034.45,
1947-04-01,2029.024,
1947-07-01,2024.834,
1947-10-01,2056.508,
1948-01-01,2087.442,
1948-04-01,2121.899,
1948-07-01,2134.056,
1948-10-01,2136.44,
1949-01-01,2107.001,2104.0506049138817
1949-04-01,2099.814,2131.648692642508
1949-07-01,2121.493,2160.479542925909
1949-10-01,2103.688,2188.028985512548
1950-01-01,2186.365,2217.26007703257
1950-04-01,2253.045,2246.729184353688
1950-07-01,2340.112,2276.368880167725
1950-10-01,2384.92,2307.3660523481108
1951-01-01,2417.311,2338.824974317999
1951-04-01,2459.196,2370.322774293753
1951-07-01,2509.88,2403.1071314889027
1951-10-01,2515.408,2437.160703987081
1952-01-01,2542.286,2471.420331304851
1952-04-01,2547.762,2506.881704599116
1952-07-01,2566.153,2539.801524959028
1952-10-01,2650.431,2570.749833620866
1953-01-01,2699.699,2598.6733697809577
1953-04-01,2720.566,2624.780519240981
1953-07-01,2705.258,2648.177875833688
1953-10-01,2664.302,2669.147932454484
1954-01-01,2651.566,2688.8794568418148
1954-04-01,2654.456,2706.70024003047
1954-07-01,2684.434,2723.5654665820334
1954-10-01,2736.96,2740.8014634802043
1955-01-01,2815.134,2757.537544043101
1955-04-01,2860.942,2775.4869475741907
1955-07-01,2899.578,2793.073368653597
1955-10-01,2916.985,2811.3068024724244
1956-01-01,2905.656,2829.9083660330025
1956-04-01,2929.666,2848.31389865172
1956-07-01,2927.034,2867.5765173471364
1956-10-01,2975.209,2887.982948471218
1957-01-01,2994.259,2909.996930551389
1957-04-01,2987.699,2933.4487429378582
1957-07-01,3016.979,2957.983237771172
1957-10-01,2985.775,2983.7254894424395
1958-01-01,2908.281,3009.660085908
1958-04-01,2927.395,3036.550614304563
1958-07-01,2995.112,3063.964446491827
1958-10-01,3065.141,3092.792356708711
1959-01-01,3123.978,3122.007548248721
1959-04-01,3194.429,3152.232422259769
1959-07-01,3196.683,3184.161588371882
1959-10-01,3205.79,3216.303732820448
1960-01-01,3277.847,3249.2974710698613
1960-04-01,3260.177,3282.0234379535505
1960-07-01,3276.133,3314.9506298741976
1960-10-01,3234.087,3347.584030399802
1961-01-01,3255.914,3380.72326106346
1961-04-01,3311.181,3413.068484507076
1961-07-01,3374.742,3446.771710039228
1961-10-01,3440.924,3480.82745673521
1962-01-01,3502.298,3515.9770354301386
1962-04-01,3533.947,3552.038330636884
1962-07-01,3577.362,3589.012327461209
1962-10-01,3589.128,3626.7058077160223
1963-01-01,3628.306,3664.847692281288
1963-04-01,3669.02,3703.8464662439696
1963-07-01,3749.681,3743.5306956821473
1963-10-01,3774.264,3784.049030035923
1964-01-01,3853.835,3824.670930680944
1964-04-01,3895.793,3866.198845174473
1964-07-01,3956.657,3908.254703171872
1964-10-01,3968.878,3950.375645631735
1965-01-01,4064.915,3993.851538770412
1965-04-01,4116.267,4036.640323421516
1965-07-01,4207.782,4081.0984119166687
1965-10-01,4304.731,4126.102922958457
1966-01-01,4409.518,4171.864801873141
1966-04-01,4424.581,4218.311334486913
1966-07-01,4462.053,4265.476569621911
1966-10-01,4498.66,4312.490146923881
1967-01-01,4538.498,4360.271844348222
1967-04-01,4541.28,4408.350776329747
1967-07-01,4584.246,4456.838540255495
1967-10-01,4618.812,4506.459633045122
1968-01-01,4713.013,4556.678144589167
1968-04-01,4791.758,4606.99359964516
1968-07-01,4828.892,4658.569862194234
1968-10-01,4847.885,4710.98144342926
1969-01-01,4923.76,4761.7533944962815
1969-04-01,4938.728,4810.697194010774
1969-07-01,4971.349,4857.356361146524
1969-10-01,4947.104,4902.082157052066
1970-01-01,4939.759,4945.120562577394
1970-04-01,4946.77,4986.338631633958
1970-07-01,4992.357,5026.205222434869
1970-10-01,4938.857,5065.047192414728
1971-01-01,5072.996,5103.931728014811
1971-04-01,5100.447,5143.608422551644
1971-07-01,5142.422,5183.873134928708
1971-10-01,5154.547,5224.749239373879
1972-01-01,5249.337,5266.39451253143
1972-04-01,5368.485,5308.641159780993
1972-07-01,5419.184,5351.574560003854
1972-10-01,5509.926,5395.2240924749485
1973-01-01,5646.286,5439.889609311336
1973-04-01,5707.755,5486.696727191846
1973-07-01,5677.738,5534.068741989446
1973-10-01,5731.632,5582.51994187006
1974-01-01,5682.353,5631.598637249256
1974-04-01,5695.859,5680.970393315887
1974-07-01,5642.025,5729.752640915352
1974-10-01,5620.126,5777.802318137726
1975-01-01,5551.713,5824.54309169916
1975-04-01,5591.382,5870.255280100443
1975-07-01,5687.087,5915.575772393114
1975-10-01,5763.665,5960.947976730031
1976-01-01,5893.276,6006.204874355208
1976-04-01,5936.515,6052.32398843067
1976-07-01,5969.089,6099.826633642548
1976-10-01,6012.356,6148.079638516858
1977-01-01,6083.391,6197.956411890966
1977-04-01,6201.659,6249.009856583874
1977-07-01,6313.559,6300.838905036115
1977-10-01,6313.697,6354.0846614467455
1978-01-01,6333.848,6408.733863432246
1978-04-01,6578.605,6464.470128445168
1978-07-01,6644.754,6521.711265790755
1978-10-01,6734.069,6580.027142701359
1979-01-01,6746.176,6639.979211939671
1979-04-01,6753.389,6697.938684205506
1979-07-01,6803.558,6757.017102799256
1979-10-01,6820.572,6807.431351018081
1980-01-01,6842.024,6853.974101112967
1980-04-01,6701.046,6896.053507494358
1980-07-01,6693.082,6933.630033363879
1980-10-01,6817.903,6973.298765606459
1981-01-01,6951.495,7017.082850017165
1981-04-01,6899.98,7064.068245661911
1981-07-01,6982.609,7113.6670908448905
1981-10-01,6906.529,7165.846265208653
1982-01-01,6799.233,7219.860818057801
1982-04-01,6830.251,7275.197650081851
1982-07-01,6804.139,7331.646121454897
1982-10-01,6806.857,7389.196940345715
1983-01-01,6896.561,7446.707123961526
1983-04-01,7053.5,7505.60082845327
1983-07-01,7194.504,7566.217679545345
1983-10-01,7344.597,7629.346169270362
1984-01-01,7488.167,7701.161149443483
1984-04-01,7617.547,7768.862502749694
1984-07-01,7690.985,7838.0969875881265
1984-10-01,7754.117,7908.409943403343
1985-01-01,7829.26,7978.984573539854
1985-04-01,7898.194,8049.744500158208
1985-07-01,8018.809,8120.359342961468
1985-10-01,8078.415,8190.52282594245
1986-01-01,8153.829,8260.076011766696
1986-04-01,8190.552,8329.29049544618
1986-07-01,8268.935,8398.321683181148
1986-10-01,8313.338,8467.280885714186
1987-01-01,8375.274,8535.830298981435
1987-04-01,8465.63,8604.09685974709
1987-07-01,8539.075,8672.097956834785
1987-10-01,8685.694,8740.355206861075
1988-01-01,8730.569,8808.242161357148
1988-04-01,8845.28,8876.376261313615
1988-07-01,8897.107,8944.328493496283
1988-10-01,9015.661,9012.224530648477
1989-01-01,9107.314,9079.783647356013
1989-04-01,9176.827,9146.944078737008
1989-07-01,9244.816,9213.666413351728
1989-10-01,9263.033,9280.117153549709
1990-01-01,9364.259,9345.729062315768
1990-04-01,9398.243,9410.698279508924
1990-07-01,9404.494,9474.294526259897
1990-10-01,9318.876,9536.660733476574
1991-01-01,9275.276,9598.133847371037
1991-04-01,9347.597,9658.772261547096
1991-07-01,9394.834,9719.052255507584
1991-10-01,9427.581,9779.687121897616
1992-01-01,9540.444,9840.957363402453
1992-04-01,9643.893,9903.22421874134
1992-07-01,9739.185,9967.189265703926
1992-10-01,9840.753,10032.212432261182
1993-01-01,9857.185,10098.289325064792
1993-04-01,9914.565,10165.978013877846
1993-07-01,9961.873,10234.681747642877
1993-10-01,10097.362,10304.221986156372
1994-01-01,10195.338,10374.320674633514
1994-04-01,10333.495,10444.871864873276
1994-07-01,10393.898,10516.403389013807
1994-10-01,10512.962,10588.510074911635
1995-01-01,10550.251,10660.851219949442
1995-04-01,10581.723,10733.924139214503
1995-07-01,10671.738,10807.235240138654
1995-10-01,10744.203,10882.147470119253
1996-01-01,10824.674,10958.23746446731
1996-04-01,11005.217,11038.99354169984
1996-07-01,11103.935,11125.46368711265
